#bin	chrom	chromStart	chromEnd	ix	type	frag	fragStart	fragEnd	strand
663	chr1	10226633	10234197	427	W	contig_7358	0	7564	+
663	chr1	10235145	10244126	429	W	contig_7359	0	8981	+
663	chr1	10244226	10276751	431	W	contig_7360	0	32525	+
663	chr1	10279102	10306819	433	W	contig_7361	0	27717	+
663	chr1	10307081	10343756	435	W	contig_7362	0	36675	+
664	chr1	10358187	10372541	437	W	contig_7363	0	14354	+
664	chr1	10373214	10375623	439	W	contig_7364	0	2409	+
10	chr1	10375723	10487287	441	W	contig_7365	0	111564	+
665	chr1	10487428	10491222	443	W	contig_7366	0	3794	+
665	chr1	10491590	10521364	445	W	contig_7367	0	29774	+
665	chr1	10521464	10568982	447	W	contig_7368	0	47518	+
665	chr1	10569133	10601255	449	W	contig_7369	0	32122	+
83	chr1	10601355	10630196	451	W	contig_7370	0	28841	+
83	chr1	10630539	10785152	453	W	contig_7371	0	154613	+
667	chr1	10785429	10796945	455	W	contig_7372	0	11516	+
667	chr1	10797494	10828823	457	W	contig_7373	0	31329	+
667	chr1	10829367	10868588	459	W	contig_7374	0	39221	+
667	chr1	10868689	10869999	461	W	contig_7375	0	1310	+
83	chr1	10870099	10895288	463	W	contig_7376	0	25189	+
668	chr1	10895511	10902292	465	W	contig_7377	0	6781	+
668	chr1	10902888	10935297	467	W	contig_7378	0	32409	+
668	chr1	10935397	10960624	469	W	contig_7379	0	25227	+
668	chr1	10961763	11005511	471	W	contig_7380	0	43748	+
83	chr1	11005611	11019918	473	W	contig_7381	0	14307	+
669	chr1	11020172	11063011	475	W	contig_7382	0	42839	+
83	chr1	11063111	11156194	477	W	contig_7383	0	93083	+
670	chr1	11156379	11204181	479	W	contig_7384	0	47802	+
670	chr1	11204721	11210887	481	W	contig_7385	0	6166	+
83	chr1	11210987	11341316	483	W	contig_7386	0	130329	+
671	chr1	11343296	11352580	485	W	contig_7387	0	9284	+
671	chr1	11353010	11353928	487	W	contig_7388	0	918	+
671	chr1	11354624	11368473	489	W	contig_7389	0	13849	+
671	chr1	11368644	11369581	491	W	contig_7390	0	937	+
671	chr1	11369717	11386925	493	W	contig_7391	0	17208	+
671	chr1	11387211	11388101	495	W	contig_7392	0	890	+
671	chr1	11389939	11398723	497	W	contig_7393	0	8784	+
83	chr1	11398823	11436631	499	W	contig_7394	0	37808	+
672	chr1	11437475	11462806	501	W	contig_7395	0	25331	+
672	chr1	11463279	11490854	503	W	contig_7396	0	27575	+
672	chr1	11491435	11494824	505	W	contig_7397	0	3389	+
10	chr1	11495108	11704728	507	W	contig_7398	0	209620	+
674	chr1	11704976	11723607	509	W	contig_7399	0	18631	+
674	chr1	11723762	11790797	511	W	contig_7400	0	67035	+
84	chr1	11791048	11928370	513	W	contig_7401	0	137322	+
676	chr1	11928762	11991446	515	W	contig_7402	0	62684	+
676	chr1	11991851	12030215	517	W	contig_7403	0	38364	+
84	chr1	12030315	12181201	519	W	contig_7404	0	150886	+
84	chr1	12181629	12276201	521	W	contig_7405	0	94572	+
84	chr1	12276304	12416116	523	W	contig_7406	0	139812	+
10	chr1	12417121	12677462	525	W	contig_7407	0	260341	+
85	chr1	12677923	12731609	527	W	contig_7408	0	53686	+
682	chr1	12731709	12758297	529	W	contig_7409	0	26588	+
682	chr1	12758397	12806517	531	W	contig_7410	0	48120	+
85	chr1	12807319	12875809	533	W	contig_7411	0	68490	+
683	chr1	12876096	12953143	535	W	contig_7412	0	77047	+
683	chr1	12953781	12957887	537	W	contig_7413	0	4106	+
683	chr1	12959599	12962068	539	W	contig_7414	0	2469	+
85	chr1	12962629	13019446	541	W	contig_7415	0	56817	+
684	chr1	13020573	13045042	543	W	contig_7416	0	24469	+
684	chr1	13045697	13054769	545	W	contig_7417	0	9072	+
85	chr1	13055381	13166201	547	W	contig_7418	0	110820	+
685	chr1	13166774	13189287	549	W	contig_7419	0	22513	+
685	chr1	13190991	13232114	551	W	contig_7420	0	41123	+
85	chr1	13232823	13245943	553	W	contig_7421	0	13120	+
686	chr1	13246422	13255701	555	W	contig_7422	0	9279	+
686	chr1	13256338	13264593	557	W	contig_7423	0	8255	+
686	chr1	13265268	13287986	559	W	contig_7424	0	22718	+
686	chr1	13288425	13341755	561	W	contig_7425	0	53330	+
686	chr1	13342310	13356050	563	W	contig_7426	0	13740	+
686	chr1	13356251	13358343	565	W	contig_7427	0	2092	+
85	chr1	13358800	13396293	567	W	contig_7428	0	37493	+
687	chr1	13397097	13453302	569	W	contig_7429	0	56205	+
85	chr1	13454265	13511377	571	W	contig_7430	0	57112	+
10	chr1	13511477	13743638	573	W	contig_7431	0	232161	+
86	chr1	13744126	13786022	575	W	contig_7432	0	41896	+
86	chr1	13786122	13979845	577	W	contig_7433	0	193723	+
691	chr1	13980536	13981501	579	W	contig_7434	0	965	+
86	chr1	13982647	14201360	581	W	contig_7435	0	218713	+
693	chr1	14201743	14211023	583	W	contig_7436	0	9280	+
693	chr1	14211123	14234256	585	W	contig_7437	0	23133	+
693	chr1	14234547	14243124	587	W	contig_7438	0	8577	+
86	chr1	14243886	14299940	589	W	contig_7439	0	56054	+
86	chr1	14300059	14493947	591	W	contig_7440	0	193888	+
86	chr1	14494215	14570482	593	W	contig_7441	0	76267	+
696	chr1	14570645	14617252	595	W	contig_7442	0	46607	+
696	chr1	14618553	14629482	597	W	contig_7443	0	10929	+
696	chr1	14629582	14632580	599	W	contig_7444	0	2998	+
10	chr1	14633825	14685363	601	W	contig_7445	0	51538	+
697	chr1	14685463	14704904	603	W	contig_7446	0	19441	+
697	chr1	14705570	14746107	605	W	contig_7447	0	40537	+
697	chr1	14746207	14799396	607	W	contig_7448	0	53189	+
87	chr1	14799496	14842724	609	W	contig_7449	0	43228	+
698	chr1	14843176	14918567	611	W	contig_7450	0	75391	+
698	chr1	14918737	14922593	613	W	contig_7451	0	3856	+
87	chr1	14923298	14966839	615	W	contig_7452	0	43541	+
699	chr1	14967155	14998247	617	W	contig_7453	0	31092	+
699	chr1	14998409	15036056	619	W	contig_7454	0	37647	+
699	chr1	15036570	15050737	621	W	contig_7455	0	14167	+
699	chr1	15051617	15053122	623	W	contig_7456	0	1505	+
699	chr1	15054177	15057256	625	W	contig_7457	0	3079	+
87	chr1	15057462	15106161	627	W	contig_7458	0	48699	+
700	chr1	15106286	15119223	629	W	contig_7459	0	12937	+
700	chr1	15119356	15121525	631	W	contig_7460	0	2169	+
700	chr1	15121625	15123365	633	W	contig_7461	0	1740	+
87	chr1	15123465	15321838	635	W	contig_7462	0	198373	+
701	chr1	15322046	15323504	637	W	contig_7463	0	1458	+
701	chr1	15324763	15330932	639	W	contig_7464	0	6169	+
87	chr1	15331394	15365377	641	W	contig_7465	0	33983	+
702	chr1	15367542	15390645	643	W	contig_7466	0	23103	+
702	chr1	15390976	15392419	645	W	contig_7467	0	1443	+
702	chr1	15393210	15432676	647	W	contig_7468	0	39466	+
702	chr1	15433689	15437569	649	W	contig_7469	0	3880	+
87	chr1	15438335	15531582	651	W	contig_7470	0	93247	+
703	chr1	15531682	15593759	653	W	contig_7471	0	62077	+
87	chr1	15593859	15604074	655	W	contig_7472	0	10215	+
10	chr1	15605054	15748138	657	W	contig_7473	0	143084	+
88	chr1	15748498	15885181	659	W	contig_7474	0	136683	+
88	chr1	15885416	16125056	661	W	contig_7475	0	239640	+
708	chr1	16125156	16167600	663	W	contig_7476	0	42444	+
708	chr1	16168419	16218395	665	W	contig_7477	0	49976	+
708	chr1	16218697	16225924	667	W	contig_7478	0	7227	+
708	chr1	16226223	16251860	669	W	contig_7479	0	25637	+
88	chr1	16252054	16371677	671	W	contig_7480	0	119623	+
709	chr1	16371823	16373669	673	W	contig_7481	0	1846	+
709	chr1	16373933	16375382	675	W	contig_7482	0	1449	+
709	chr1	16375959	16380044	677	W	contig_7483	0	4085	+
88	chr1	16380308	16506358	679	W	contig_7484	0	126050	+
88	chr1	16506856	16573156	681	W	contig_7485	0	66300	+
88	chr1	16573323	16711190	683	W	contig_7486	0	137867	+
712	chr1	16711290	16725388	685	W	contig_7487	0	14098	+
712	chr1	16725488	16726401	687	W	contig_7488	0	913	+
712	chr1	16726513	16728239	689	W	contig_7489	0	1726	+
712	chr1	16728822	16732561	691	W	contig_7490	0	3739	+
712	chr1	16732691	16773065	693	W	contig_7491	0	40374	+
1	chr1	16773166	16785164	695	W	contig_7492	0	11998	+
713	chr1	16785264	16789055	697	W	contig_7493	0	3791	+
713	chr1	16789155	16849111	699	W	contig_7494	0	59956	+
89	chr1	16849772	16916603	701	W	contig_7495	0	66831	+
714	chr1	16918179	16920969	703	W	contig_7496	0	2790	+
714	chr1	16921069	17006953	705	W	contig_7497	0	85884	+
714	chr1	17007346	17010590	707	W	contig_7498	0	3244	+
714	chr1	17010690	17038499	709	W	contig_7499	0	27809	+
89	chr1	17038617	17067024	711	W	contig_7500	0	28407	+
715	chr1	17068787	17076222	713	W	contig_7501	0	7435	+
89	chr1	17076786	17245949	715	W	contig_7502	0	169163	+
89	chr1	17246663	17381816	717	W	contig_7503	0	135153	+
717	chr1	17382345	17416011	719	W	contig_7504	0	33666	+
89	chr1	17416111	17443376	721	W	contig_7505	0	27265	+
718	chr1	17443740	17521405	723	W	contig_7506	0	77665	+
718	chr1	17521789	17522630	725	W	contig_7507	0	841	+
718	chr1	17523802	17555315	727	W	contig_7508	0	31513	+
89	chr1	17555456	17762469	729	W	contig_7509	0	207013	+
720	chr1	17762750	17763871	731	W	contig_7510	0	1121	+
720	chr1	17763971	17769845	733	W	contig_7511	0	5874	+
720	chr1	17770067	17819099	735	W	contig_7512	0	49032	+
11	chr1	17819199	18045891	737	W	contig_7513	0	226692	+
722	chr1	18046901	18049489	739	W	contig_7514	0	2588	+
722	chr1	18049687	18053892	741	W	contig_7515	0	4205	+
90	chr1	18054062	18492792	743	W	contig_7516	0	438730	+
90	chr1	18493108	18689331	745	W	contig_7517	0	196223	+
727	chr1	18689431	18725311	747	W	contig_7518	0	35880	+
727	chr1	18725819	18729403	749	W	contig_7519	0	3584	+
90	chr1	18730360	18764367	751	W	contig_7520	0	34007	+
728	chr1	18764596	18812111	753	W	contig_7521	0	47515	+
728	chr1	18812230	18829699	755	W	contig_7522	0	17469	+
11	chr1	18830081	19020682	757	W	contig_7523	0	190601	+
730	chr1	19020782	19024208	759	W	contig_7524	0	3426	+
730	chr1	19024308	19067596	761	W	contig_7525	0	43288	+
730	chr1	19067696	19105419	763	W	contig_7526	0	37723	+
730	chr1	19105519	19109688	765	W	contig_7527	0	4169	+
91	chr1	19109788	19138282	767	W	contig_7528	0	28494	+
731	chr1	19138382	19190797	769	W	contig_7529	0	52415	+
731	chr1	19191387	19194321	771	W	contig_7530	0	2934	+
91	chr1	19194920	19314782	773	W	contig_7531	0	119862	+
91	chr1	19315071	19455951	775	W	contig_7532	0	140880	+
733	chr1	19456051	19526515	777	W	contig_7533	0	70464	+
91	chr1	19526615	19599633	779	W	contig_7534	0	73018	+
91	chr1	19600472	19774839	781	W	contig_7535	0	174367	+
735	chr1	19774939	19777864	783	W	contig_7536	0	2925	+
735	chr1	19778522	19779902	785	W	contig_7537	0	1380	+
91	chr1	19780002	19824054	787	W	contig_7538	0	44052	+
11	chr1	19824154	19928379	789	W	contig_7539	0	104225	+
737	chr1	19929243	19962258	791	W	contig_7540	0	33015	+
737	chr1	19962535	20043061	793	W	contig_7541	0	80526	+
92	chr1	20043161	20057315	795	W	contig_7542	0	14154	+
92	chr1	20058517	20354892	797	W	contig_7543	0	296375	+
740	chr1	20354992	20357354	799	W	contig_7544	0	2362	+
740	chr1	20357536	20364293	801	W	contig_7545	0	6757	+
92	chr1	20364653	20477391	803	W	contig_7546	0	112738	+
741	chr1	20479004	20488494	805	W	contig_7547	0	9490	+
741	chr1	20489580	20532053	807	W	contig_7548	0	42473	+
92	chr1	20533219	20710526	809	W	contig_7549	0	177307	+
743	chr1	20710626	20714241	811	W	contig_7550	0	3615	+
743	chr1	20714474	20718513	813	W	contig_7551	0	4039	+
743	chr1	20718731	20733699	815	W	contig_7552	0	14968	+
743	chr1	20733987	20753656	817	W	contig_7553	0	19669	+
743	chr1	20753757	20791394	819	W	contig_7554	0	37637	+
92	chr1	20791684	20880731	821	W	contig_7555	0	89047	+
744	chr1	20881013	20889251	823	W	contig_7556	0	8238	+
744	chr1	20889351	20942935	825	W	contig_7557	0	53584	+
11	chr1	20943159	21032194	827	W	contig_7558	0	89035	+
745	chr1	21043489	21045415	829	W	contig_7559	0	1926	+
93	chr1	21049859	21104430	831	W	contig_7560	0	54571	+
746	chr1	21104696	21156100	833	W	contig_7561	0	51404	+
746	chr1	21156392	21158685	835	W	contig_7562	0	2293	+
746	chr1	21158788	21199130	837	W	contig_7563	0	40342	+
93	chr1	21199230	21255751	839	W	contig_7564	0	56521	+
747	chr1	21255851	21318193	841	W	contig_7565	0	62342	+
747	chr1	21318373	21323722	843	W	contig_7566	0	5349	+
93	chr1	21323822	21398363	845	W	contig_7567	0	74541	+
93	chr1	21398796	21571119	847	W	contig_7568	0	172323	+
11	chr1	21571219	22074023	849	W	contig_7569	0	502804	+
753	chr1	22074123	22138054	851	W	contig_7570	0	63931	+
94	chr1	22138297	22289376	853	W	contig_7571	0	151079	+
755	chr1	22289476	22312633	855	W	contig_7572	0	23157	+
755	chr1	22312733	22401201	857	W	contig_7573	0	88468	+
94	chr1	22401313	22578060	859	W	contig_7574	0	176747	+
94	chr1	22578237	22757314	861	W	contig_7575	0	179077	+
758	chr1	22757414	22785509	863	W	contig_7576	0	28095	+
94	chr1	22785609	22814101	865	W	contig_7577	0	28492	+
759	chr1	22814201	22839499	867	W	contig_7578	0	25298	+
94	chr1	22840037	22976708	869	W	contig_7579	0	136671	+
11	chr1	22976873	23110689	871	W	contig_7580	0	133816	+
95	chr1	23110928	23496099	873	W	contig_7581	0	385171	+
764	chr1	23496199	23499070	875	W	contig_7582	0	2871	+
764	chr1	23499828	23578648	877	W	contig_7583	0	78820	+
764	chr1	23579138	23582025	879	W	contig_7584	0	2887	+
95	chr1	23582125	23612404	881	W	contig_7585	0	30279	+
95	chr1	23613411	23837709	883	W	contig_7586	0	224298	+
11	chr1	23837809	24168753	885	W	contig_7587	0	330944	+
769	chr1	24168853	24175879	887	W	contig_7588	0	7026	+
96	chr1	24176393	24305710	889	W	contig_7589	0	129317	+
770	chr1	24309125	24344729	891	W	contig_7590	0	35604	+
770	chr1	24345003	24347032	893	W	contig_7591	0	2029	+
96	chr1	24347145	24577378	895	W	contig_7592	0	230233	+
96	chr1	24577478	24752614	897	W	contig_7593	0	175136	+
96	chr1	24752714	24844808	899	W	contig_7594	0	92094	+
774	chr1	24844908	24849762	901	W	contig_7595	0	4854	+
