GeneId,GeneName,Chromosome,CanonicalTranscriptId,Strand,TransId,TransName,BioType,TransStart,TransEnd,ExonRank,ExonStart,ExonEnd,ExonPhase,ExonEndPhase,CodingStart,CodingEnd
ENSG00000198502,HLA-DRB5,chr6,428654,-1,428654,ENST00000374975,protein_coding,32517353,32530287,2,32521905,32522174,1,1,32517739,32530224
ENSG00000198502,HLA-DRB5,chr6,428654,-1,428654,ENST00000374975,protein_coding,32517353,32530287,1,32530125,32530287,-1,1,32517739,32530224
ENSG00000196101,HLA-DRB3,HSCHR6_MHC_QBL_CTG1,-1,-1,-1,ENST00000307137,protein_coding,3715355,3728422,6,3715355,3715685,1,-1,3715672,3728382
ENSG00000196101,HLA-DRB3,HSCHR6_MHC_QBL_CTG1,-1,-1,-1,ENST00000307137,protein_coding,3715355,3728422,5,3716485,3716508,1,1,3715672,3728382
ENSG00000196101,HLA-DRB3,HSCHR6_MHC_QBL_CTG1,-1,-1,-1,ENST00000307137,protein_coding,3715355,3728422,4,3716982,3717092,1,1,3715672,3728382
ENSG00000196101,HLA-DRB3,HSCHR6_MHC_QBL_CTG1,-1,-1,-1,ENST00000307137,protein_coding,3715355,3728422,3,3717777,3718058,1,1,3715672,3728382
ENSG00000196101,HLA-DRB3,HSCHR6_MHC_QBL_CTG1,-1,-1,-1,ENST00000307137,protein_coding,3715355,3728422,2,3720361,3720630,1,1,3715672,3728382
ENSG00000196101,HLA-DRB3,HSCHR6_MHC_QBL_CTG1,-1,-1,-1,ENST00000307137,protein_coding,3715355,3728422,1,3728283,3728422,-1,1,3715672,3728382
ENSG00000231021,HLA-DRB4,HSCHR6_MHC_MCF_CTG1,-1,-1,-1,ENST00000457451,protein_coding,3876744,3891699,6,3876744,3877069,1,-1,3877056,3891636
ENSG00000231021,HLA-DRB4,HSCHR6_MHC_MCF_CTG1,-1,-1,-1,ENST00000457451,protein_coding,3876744,3891699,5,3877372,3877395,1,1,3877056,3891636
ENSG00000231021,HLA-DRB4,HSCHR6_MHC_MCF_CTG1,-1,-1,-1,ENST00000457451,protein_coding,3876744,3891699,4,3877870,3877980,1,1,3877056,3891636
ENSG00000231021,HLA-DRB4,HSCHR6_MHC_MCF_CTG1,-1,-1,-1,ENST00000457451,protein_coding,3876744,3891699,3,3878685,3878966,1,1,3877056,3891636
ENSG00000231021,HLA-DRB4,HSCHR6_MHC_MCF_CTG1,-1,-1,-1,ENST00000457451,protein_coding,3876744,3891699,2,3881704,3881973,1,1,3877056,3891636
ENSG00000231021,HLA-DRB4,HSCHR6_MHC_MCF_CTG1,-1,-1,-1,ENST00000457451,protein_coding,3876744,3891699,1,3891537,3891699,-1,1,3877056,3891636
ENSG00000188641,DPYD,chr1,0,1,0,ENST00000000000,protein_coding,97082390,97579894,1,97082390,97082392,0,0,97082390,97579894
ENSG00000188641,DPYD,chr1,0,1,0,ENST00000000000,protein_coding,97082390,97579894,2,97450057,97450059,0,0,97082390,97579894
ENSG00000188641,DPYD,chr1,0,1,0,ENST00000000000,protein_coding,97082390,97579894,3,97515786,97515788,0,0,97082390,97579894
ENSG00000188641,DPYD,chr1,0,1,0,ENST00000000000,protein_coding,97082390,97579894,4,97573862,97573864,0,0,97082390,97579894
ENSG00000188641,DPYD,chr1,0,1,0,ENST00000000000,protein_coding,97082390,97579894,5,97579892,97579894,0,0,97082390,97579894
